#current,denoise flag,# events, e, eh+, eh-,eh+/e,eh-/e, e ai,  eh+ ai, eh- ai,eh+/e ai,eh-/e ai 
 45,1,846596,24688,17715,3510,0.7176,0.1422,26019,20178,3983,0.7755,0.1531
 50,1,846591,24472,17555,3386,0.7174,0.1384,25932,20078,3898,0.7743,0.1503
 55,1,846592,24180,16871,3329,0.6977,0.1377,25833,19693,3854,0.7623,0.1492
 60,1,400006,11686, 8012,1545,0.6856,0.1322,12551, 9457,1817,0.7535,0.1448
105,1,846583,20786,11894,2310,0.5722,0.1111,23532,15583,3013,0.6622,0.1280
110,1,846587,20448,11442,2246,0.5596,0.1098,23211,15126,2969,0.6517,0.1279
115,1,400004, 9749, 5396,1050,0.5535,0.1077,11196, 7258,1407,0.6483,0.1257
135,1,642997,14199, 6811,1362,0.4797,0.0959,16893, 9856,1931,0.5834,0.1143
 45,0,846595,22301,14642,2913,0.6566,0.1306,25254,19054,3773,0.7545,0.1494
 50,0,846582,21965,14444,2830,0.6576,0.1288,25080,18919,3675,0.7543,0.1465
 55,0,846595,21536,13732,2748,0.6376,0.1276,24755,18341,3584,0.7409,0.1448
 60,0,400005,10300, 6415,1248,0.6228,0.1212,11966, 8711,1671,0.7280,0.1396
 90,0,846595,16097, 8024,1657,0.4985,0.1029,19932,12292,2510,0.6167,0.1259
 95,0,846586,15535, 7779,1488,0.5007,0.0958,19327,12007,2307,0.6213,0.1194
100,0,846586,14372, 6905,1386,0.4804,0.0964,17920,10770,2107,0.6010,0.1176
105,0,846592,13546, 6569,1315,0.4849,0.0971,17102,10279,1985,0.6010,0.1161
110,0,846581,12090, 5640,1103,0.4665,0.0912,15424, 9019,1705,0.5847,0.1105
115,0,400007, 5069, 2318, 456,0.4573,0.0900, 6457, 3720, 676,0.5761,0.1047
135,0,846579, 1933,  763, 138,0.3947,0.0714, 2565, 1301, 238,0.5072,0.0928
